instance_id,solved
django__django-11099,57
django__django-13658,57
django__django-16255,57
django__django-16527,57
django__django-11133,56
sympy__sympy-24152,56
django__django-14855,55
django__django-14382,54
django__django-14752,54
pytest-dev__pytest-11143,53
pytest-dev__pytest-5227,53
sympy__sympy-14774,53
django__django-11039,52
django__django-14915,51
pytest-dev__pytest-7373,51
django__django-10914,50
scikit-learn__scikit-learn-14894,50
sphinx-doc__sphinx-8713,50
pydata__xarray-5131,50
matplotlib__matplotlib-23964,49
django__django-11179,48
django__django-13230,48
django__django-13933,48
sympy__sympy-20212,48
sympy__sympy-24213,48
astropy__astropy-14995,48
django__django-12286,48
scikit-learn__scikit-learn-10297,47
scikit-learn__scikit-learn-13439,47
scikit-learn__scikit-learn-13496,47
scikit-learn__scikit-learn-13779,47
sympy__sympy-21847,47
sympy__sympy-13647,47
django__django-13710,46
django__django-15347,46
django__django-16041,46
sympy__sympy-23117,46
django__django-12983,45
django__django-14238,44
django__django-15851,44
django__django-16046,44
psf__requests-2317,44
django__django-12453,44
django__django-11583,43
django__django-13447,43
sphinx-doc__sphinx-8595,41
django__django-13590,41
django__django-12700,40
psf__requests-863,40
django__django-15789,40
scikit-learn__scikit-learn-12471,39
sympy__sympy-20154,39
django__django-12497,38
pytest-dev__pytest-7432,38
sympy__sympy-22714,38
django__django-14672,38
django__django-14787,37
matplotlib__matplotlib-23913,37
pytest-dev__pytest-5692,37
sphinx-doc__sphinx-8721,37
django__django-11049,37
django__django-13401,37
django__django-14608,36
matplotlib__matplotlib-23314,36
matplotlib__matplotlib-24149,36
psf__requests-2674,36
django__django-11999,36
django__django-14016,36
django__django-15814,35
psf__requests-3362,35
scikit-learn__scikit-learn-25570,35
scikit-learn__scikit-learn-13584,35
sympy__sympy-18621,35
scikit-learn__scikit-learn-13241,34
sympy__sympy-15011,34
matplotlib__matplotlib-26020,33
scikit-learn__scikit-learn-15535,33
mwaskom__seaborn-3190,32
sympy__sympy-13471,32
matplotlib__matplotlib-24970,31
scikit-learn__scikit-learn-13142,31
django__django-11815,30
django__django-12708,30
django__django-12915,30
django__django-13028,30
sympy__sympy-12481,30
sympy__sympy-24066,30
scikit-learn__scikit-learn-11281,29
sympy__sympy-18532,29
sympy__sympy-17655,29
django__django-14999,28
sympy__sympy-18057,27
sympy__sympy-18189,27
django__django-15790,27
sympy__sympy-17139,27
sympy__sympy-23262,27
astropy__astropy-12907,25
django__django-14411,25
django__django-17051,24
pylint-dev__pylint-5859,24
scikit-learn__scikit-learn-14092,24
sympy__sympy-15678,24
django__django-11001,24
astropy__astropy-6938,23
sympy__sympy-21055,22
django__django-17087,22
matplotlib__matplotlib-26011,22
pylint-dev__pylint-7993,22
sympy__sympy-17022,22
django__django-11848,21
sympy__sympy-21614,21
sympy__sympy-15609,21
django__django-13315,20
matplotlib__matplotlib-23562,20
scikit-learn__scikit-learn-15512,20
django__django-13964,19
sympy__sympy-13971,18
